filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
55006,0.34695113,2272.837861,1781.356285,4068.69873,0.056378473,0.153942057,Maher_AlMuaiqly,Al-Rahman,27
55007,0.34720495,2151.691138,1705.939398,3971.050335,0.0777898,0.156710683,Maher_AlMuaiqly,Al-Rahman,27
55008,0.3384274,2102.436702,1693.738914,3928.199611,0.06307858,0.147123248,Maher_AlMuaiqly,Al-Rahman,27
55009,0.3740201,2302.170298,1824.352373,4204.92849,0.05163694,0.166512907,Maher_AlMuaiqly,Al-Rahman,27
55010,0.32537645,1920.504304,1589.094856,3671.411133,0.07138695,0.131422776,Maher_AlMuaiqly,Al-Rahman,27
55011,0.33258492,1938.719707,1632.544444,3648.092001,0.056482658,0.131900733,Maher_AlMuaiqly,Al-Rahman,27
55012,0.30788615,2009.348611,1685.624834,3807.901658,0.065373935,0.131659785,Maher_AlMuaiqly,Al-Rahman,27
55013,0.35352686,2008.606565,1627.800272,3745.171798,0.06107306,0.140684964,Maher_AlMuaiqly,Al-Rahman,27
55014,0.33745337,2119.502311,1803.785724,4034.179688,0.062687315,0.14009088,Maher_AlMuaiqly,Al-Rahman,27
55015,0.26542348,1961.306096,1638.095859,3665.478516,0.07533455,0.131359282,Maher_AlMuaiqly,Al-Rahman,27
55016,0.36057183,2110.235309,1645.471626,3811.573603,0.071722835,0.145311608,Maher_AlMuaiqly,Al-Rahman,27
55017,0.28921998,2067.639051,1683.452579,3808.139444,0.065000415,0.136916794,Maher_AlMuaiqly,Al-Rahman,27
55018,0.3681681,2126.151915,1697.209616,3817.612813,0.062544376,0.150171893,Maher_AlMuaiqly,Al-Rahman,27
55019,0.34856766,2257.813163,1730.443741,3900.807644,0.075980805,0.161119616,Maher_AlMuaiqly,Al-Rahman,27
55020,0.35203245,2072.90773,1647.174615,3798.910362,0.061267313,0.143702457,Maher_AlMuaiqly,Al-Rahman,27
55021,0.344353,2072.500775,1664.037069,3798.159027,0.073252335,0.141390119,Maher_AlMuaiqly,Al-Rahman,27
55022,0.27051172,1714.655415,1852.978655,3132.927975,0.07387928,0.077291914,Maher_AlMuaiqly,Al-Rahman,27
55023,0.33940816,2070.469642,1656.718825,3778.620076,0.07472593,0.141387364,Maher_AlMuaiqly,Al-Rahman,27
55024,0.34340498,2124.786226,1648.347589,3842.465515,0.06731853,0.144565837,Maher_AlMuaiqly,Al-Rahman,27
55025,0.35446987,2087.535921,1684.443658,3780.446585,0.06626512,0.143929465,Maher_AlMuaiqly,Al-Rahman,27
55026,0.30841276,2041.317483,1610.516785,3742.509502,0.085509636,0.13934931,Maher_AlMuaiqly,Al-Rahman,27
55027,0.32981592,2042.69085,1677.19705,3817.718299,0.062096085,0.133042158,Maher_AlMuaiqly,Al-Rahman,27
55028,0.348721,2128.945257,1705.511512,3836.289807,0.07111219,0.150493536,Maher_AlMuaiqly,Al-Rahman,27
55029,0.3321881,2282.475849,1843.787345,4200.378949,0.06413913,0.15230306,Maher_AlMuaiqly,Al-Rahman,27
55030,0.35670626,2162.254154,1721.299485,3910.063708,0.07145358,0.146957217,Maher_AlMuaiqly,Al-Rahman,27
55031,0.3329631,2133.066346,1772.779216,3940.912628,0.072685294,0.138300578,Maher_AlMuaiqly,Al-Rahman,27
55032,0.36613464,2152.306695,1699.976392,3836.651094,0.070514895,0.148224394,Maher_AlMuaiqly,Al-Rahman,27
55033,0.32520646,2099.241254,1793.878847,3968.188792,0.06014288,0.135710091,Maher_AlMuaiqly,Al-Rahman,27
55034,0.35358444,2180.12771,1725.280927,3853.891226,0.07778654,0.150708992,Maher_AlMuaiqly,Al-Rahman,27
55035,0.30817118,2065.599624,1765.544982,3907.364442,0.06861457,0.129790759,Maher_AlMuaiqly,Al-Rahman,27
55036,0.3457302,2139.935827,1679.553448,3807.759715,0.07815269,0.150519933,Maher_AlMuaiqly,Al-Rahman,27
55037,0.3508216,2190.99415,1772.498255,3979.188538,0.0709264,0.150054932,Maher_AlMuaiqly,Al-Rahman,27
55038,0.36207056,2087.777831,1663.344178,3768.351641,0.067959666,0.145319582,Maher_AlMuaiqly,Al-Rahman,27
55039,0.30214167,2158.524755,1769.97677,3949.965383,0.073361896,0.143848281,Maher_AlMuaiqly,Al-Rahman,27
55040,0.36419234,2148.125998,1708.585834,3821.735342,0.07593283,0.155585845,Maher_AlMuaiqly,Al-Rahman,27
55041,0.32582378,2267.735303,1803.6171,4025.273438,0.07242426,0.153983347,Maher_AlMuaiqly,Al-Rahman,27
55042,0.36909375,2147.614797,1681.405644,3843.722966,0.07678931,0.155300681,Maher_AlMuaiqly,Al-Rahman,27
55043,0.29421294,2059.696742,1717.900905,3784.670734,0.06634269,0.127099991,Maher_AlMuaiqly,Al-Rahman,27
55044,0.3500074,2140.639465,1702.686627,3805.004883,0.070484884,0.142814792,Maher_AlMuaiqly,Al-Rahman,27
55045,0.336877,2014.654614,1628.224843,3738.178761,0.0720373,0.133219123,Maher_AlMuaiqly,Al-Rahman,27
55046,0.28935504,2167.072536,1748.830425,3896.226699,0.074475504,0.142542706,Maher_AlMuaiqly,Al-Rahman,27
55047,0.34364647,2163.627504,1668.945537,3853.157084,0.072827935,0.155480849,Maher_AlMuaiqly,Al-Rahman,27
55048,0.3212728,2167.714347,1715.676218,3848.001049,0.08939833,0.156065894,Maher_AlMuaiqly,Al-Rahman,27
55049,0.34715718,2111.436849,1667.132102,3826.857044,0.059636068,0.147742206,Maher_AlMuaiqly,Al-Rahman,27
55050,0.3252862,2299.911576,1742.807047,3929.913095,0.07929365,0.148916391,Maher_AlMuaiqly,Al-Rahman,27
55051,0.3452882,2105.268887,1673.836042,3823.953458,0.058797613,0.145718279,Maher_AlMuaiqly,Al-Rahman,27
55052,0.28714648,2048.107079,1765.308354,3850.146375,0.07251239,0.126410104,Maher_AlMuaiqly,Al-Rahman,27
55053,0.34470287,2158.417855,1660.559924,3868.008329,0.07163953,0.155826249,Maher_AlMuaiqly,Al-Rahman,27
55054,0.3237527,2118.911127,1728.886568,3895.279541,0.06763324,0.136608305,Maher_AlMuaiqly,Al-Rahman,27
55055,0.33583316,2125.826324,1667.640379,3854.653439,0.07093667,0.146551067,Maher_AlMuaiqly,Al-Rahman,27
